,품목,단위,가격,이름,주소,구,위도,경도
102,무(1kg),1 개,2480.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
103,양파(1.5kg망),작은망,4155.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
104,상추,100g,2180.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
105,오이(다다기),1 개,1396.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
106,호박(인큐베이터),1 개,1380.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
107,쇠고기,100g,7080.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
108,돼지고기(생삼겹살),100g,2800.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
109,닭고기(육계),1kg 1마리,8980.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
110,달걀(30개),한판,6480.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
111,"조기(냉동,국산)",25~30cm,2880.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
112,"명태(냉동,수입산)",550~600g,4980.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
113,"오징어(냉동,국산)",25~30cm,3780.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
114,고등어,20~25cm,6980.0,이마트 은평점,서울특별시 은평구 은평로 111,은평구,0.0,0.0
115,"사과(부사, 300g)",1개,2000.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
116,"배(신고, 600g)",1개,4000.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
117,배추(중간),1통,4500.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
118,무(세척무),1개,3000.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
119,양파(1.5kg망),1.5kg,3983.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
120,상추(100g),100g,2200.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
121,오이(다다기),1개,1400.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
122,"호박(인큐베이터),중간",1개,1600.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,0.0,0.0
123,"쇠고기(한우,불고기)",100g,6100.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
124,돼지고기(생삼겹살),100g,2600.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
125,닭고기(육계),1마리,9980.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
126,달걀(30개),30개,6900.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
127,"조기(생물,수입산)",1마리,5980.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
128,"명태(냉동,수입산)",1마리,5900.0,이마트 청계점,서울특별시 중구 청계천로 400,중구,37.5708427,127.0228252
