,STN_NM,위도,경도,주소
3008,화계사입구사거리,37.634201456815184,127.01670120020292,"화계사거리, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3009,화계사입구사거리,37.63410630021388,127.0168545905965,"화계사거리, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3010,강북노인종합복지관,37.63441052161215,127.01899883129988,"수유5동사무소입구, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3011,강북노인종합복지관,37.63429926871696,127.01897347079812,"수유5동사무소입구, 덕릉로, 인수동, 강북구, 서울, 01100, 대한민국"
3012,신일병원,37.63471613190882,127.0225950770969,"수유동엘리제웨딩홀, 덕릉로, 인수동, 강북구, 서울, 01131, 대한민국"
3013,신일병원,37.63449599760846,127.02120253420031,"덕릉로, 수유동, 강북구, 서울, 01131, 대한민국"
3014,강북구청,37.64047627561115,127.02615622029494,"강북구청, 한천로, 수유동, 강북구, 서울, 01064, 대한민국"
3015,강북구청,37.64044602211652,127.02635722219568,"강북구청, 한천로, 수유동, 강북구, 서울, 01064, 대한민국"
3016,강북경찰서입구,37.635150496215154,127.02868609299838,"북부경찰서입구, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3017,강북경찰서입구,37.63513445891482,127.02928671380388,"북부경찰서입구, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3018,북부시장입구,37.635362948609576,127.03201770319794,"북부시장입구, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3019,북부시장입구,37.63532407031428,127.03226513349809,"북부시장입구, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3020,번동사거리,37.63613236191155,127.03534866739852,"번동사거리, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3021,번동사거리,37.636027879515744,127.03535335980388,"번동사거리, 덕릉로, 번동, 강북구, 서울, 01067, 대한민국"
3022,북부수도사업소,37.63442663440822,127.03598693710347,"147, 한천로, 번2동, 강북구, 서울, 01067, 대한민국"
